"ABADIA DE GOIAS","ABADIA DE GOIAS","https://servicodados.ibge.gov.br/api/v2/malhas/52?resolucao=5&formato=application/vnd.geo+json",52,5200050
"ABADIA DOS DOURADOS","ABADIA DOS DOURADOS","https://servicodados.ibge.gov.br/api/v2/malhas/31?resolucao=5&formato=application/vnd.geo+json",31,3100104
"ABADIANIA","ABADIANIA","https://servicodados.ibge.gov.br/api/v2/malhas/52?resolucao=5&formato=application/vnd.geo+json",52,5200100
"ABAETE","ABAETE","https://servicodados.ibge.gov.br/api/v2/malhas/31?resolucao=5&formato=application/vnd.geo+json",31,3100203
"ABAETETUBA","ABAETETUBA","https://servicodados.ibge.gov.br/api/v2/malhas/15?resolucao=5&formato=application/vnd.geo+json",15,1500107
"ABAIARA","ABAIARA","https://servicodados.ibge.gov.br/api/v2/malhas/23?resolucao=5&formato=application/vnd.geo+json",23,2300101
"ABAIRA","ABAIRA","https://servicodados.ibge.gov.br/api/v2/malhas/29?resolucao=5&formato=application/vnd.geo+json",29,2900108
"ABARE","ABARE","https://servicodados.ibge.gov.br/api/v2/malhas/29?resolucao=5&formato=application/vnd.geo+json",29,2900207
"ABATIA","ABATIA","https://servicodados.ibge.gov.br/api/v2/malhas/41?resolucao=5&formato=application/vnd.geo+json",41,4100103
"ABDON BATISTA","ABDON BATISTA","https://servicodados.ibge.gov.br/api/v2/malhas/42?resolucao=5&formato=application/vnd.geo+json",42,4200051
"ABEL FIGUEIREDO","ABEL FIGUEIREDO","https://servicodados.ibge.gov.br/api/v2/malhas/15?resolucao=5&formato=application/vnd.geo+json",15,1500131
"ABELARDO LUZ","ABELARDO LUZ","https://servicodados.ibge.gov.br/api/v2/malhas/42?resolucao=5&formato=application/vnd.geo+json",42,4200101
"ABRE CAMPO","ABRE CAMPO","https://servicodados.ibge.gov.br/api/v2/malhas/31?resolucao=5&formato=application/vnd.geo+json",31,3100302
"ABREU E LIMA","ABREU E LIMA","https://servicodados.ibge.gov.br/api/v2/malhas/26?resolucao=5&formato=application/vnd.geo+json",26,2600054
"ABREULANDIA","ABREULANDIA","https://servicodados.ibge.gov.br/api/v2/malhas/17?resolucao=5&formato=application/vnd.geo+json",17,1700251
"ACAIACA","ACAIACA","https://servicodados.ibge.gov.br/api/v2/malhas/31?resolucao=5&formato=application/vnd.geo+json",31,3100401
"ACAILANDIA","ACAILANDIA","https://servicodados.ibge.gov.br/api/v2/malhas/21?resolucao=5&formato=application/vnd.geo+json",21,2100055
"ACAJUTIBA","ACAJUTIBA","https://servicodados.ibge.gov.br/api/v2/malhas/29?resolucao=5&formato=application/vnd.geo+json",29,2900306
"ACARA","ACARA","https://servicodados.ibge.gov.br/api/v2/malhas/15?resolucao=5&formato=application/vnd.geo+json",15,1500206
"ACARAPE","ACARAPE","https://servicodados.ibge.gov.br/api/v2/malhas/23?resolucao=5&formato=application/vnd.geo+json",23,2300150
"ACARAU","ACARAU","https://servicodados.ibge.gov.br/api/v2/malhas/23?resolucao=5&formato=application/vnd.geo+json",23,2300200
"ACARI","ACARI","https://servicodados.ibge.gov.br/api/v2/malhas/24?resolucao=5&formato=application/vnd.geo+json",24,2400109
"ACAUA","ACAUA","https://servicodados.ibge.gov.br/api/v2/malhas/22?resolucao=5&formato=application/vnd.geo+json",22,2200053
"ACEGUA","ACEGUA","https://servicodados.ibge.gov.br/api/v2/malhas/43?resolucao=5&formato=application/vnd.geo+json",43,4300034
"ACOPIARA","ACOPIARA","https://servicodados.ibge.gov.br/api/v2/malhas/23?resolucao=5&formato=application/vnd.geo+json",23,2300309
"ACORIZAL","ACORIZAL","https://servicodados.ibge.gov.br/api/v2/malhas/51?resolucao=5&formato=application/vnd.geo+json",51,5100102
"ACRELANDIA","ACRELANDIA","https://servicodados.ibge.gov.br/api/v2/malhas/12?resolucao=5&formato=application/vnd.geo+json",12,1200013
"ACREUNA","ACREUNA","https://servicodados.ibge.gov.br/api/v2/malhas/52?resolucao=5&formato=application/vnd.geo+json",52,5200134
"ACU","ACU","https://servicodados.ibge.gov.br/api/v2/malhas/24?resolucao=5&formato=application/vnd.geo+json",24,2400208
"ACUCENA","ACUCENA","https://servicodados.ibge.gov.br/api/v2/malhas/31?resolucao=5&formato=application/vnd.geo+json",31,3100500
